Product_ID,Product_Name,Category,Material,Time_Taken,Region,Demand_Level,Avg_Reviews,Actual_Cost,Expected_Price,Price_Difference,Difference_Flag
1,Macrame Wall Hanging,Crafts,Ceramic,2,Sabaragamuwa,High,3.4,5218,6724,1506,0
2,Woven Basket,Jewelry,Wood,9,Sabaragamuwa,Medium,4.9,6066,8121,2055,0
3,Wooden Sculpture,Crafts,Cotton Rope,2,Uwa,Medium,4.4,2439,6074,3635,0
4,Handmade Necklace,Kitchenware,Straw,20,NorthEast,Medium,3.9,4474,19070,14596,0
5,Macrame Wall Hanging,Crafts,Beads,4,NorthEast,High,4.3,13997,4407,9590,0
6,Woven Basket,Crafts,Paper,15,NorthEast,Low,4.5,8850,2280,6570,0
7,Wooden Sculpture,Home Decor,Paper,11,Uwa,Low,3.7,9495,6858,2637,0
8,Knitted Scarf,Jewelry,Beads,14,NorthEast,Medium,3.2,13648,15757,2109,0
9,Macrame Wall Hanging,Accessories,Straw,19,Uwa,High,4.0,10497,7989,2508,0
10,Embroidered Cushion,Jewelry,Straw,11,North,Low,3.1,16974,9409,7565,0
11,Woven Basket,Kitchenware,Ceramic,4,Sabaragamuwa,High,3.2,7183,11737,4554,0
12,Embroidered Cushion,Crafts,Ceramic,14,NorthEast,High,3.3,13778,14305,527,0
13,Leather Wallet,Crafts,Straw,13,North,High,3.7,4902,14131,9229,0
14,Embroidered Cushion,Fashion,Paper,1,Sabaragamuwa,Medium,3.1,12082,12314,232,0
15,Macrame Wall Hanging,Fashion,Straw,20,Sabaragamuwa,Medium,5.0,1360,12804,11444,0
16,Handmade Necklace,Fashion,Wool,5,North,Low,3.6,10411,10199,212,0
17,Hand-Painted Vase,Jewelry,Wool,5,North,High,4.7,3995,4140,145,0
18,Embroidered Cushion,Crafts,Wool,16,Uwa,Low,3.0,16001,2412,13589,0
19,Woven Basket,Kitchenware,Fabric,9,North,High,4.1,15415,3041,12374,0
20,Woven Basket,Fashion,Fabric,10,NorthEast,Medium,3.1,12833,3177,9656,0
21,Macrame Wall Hanging,Kitchenware,Straw,18,Sabaragamuwa,Medium,4.2,16069,12787,3282,0
22,Embroidered Cushion,Kitchenware,Wood,10,NorthEast,Low,3.4,17562,18209,647,0
23,Embroidered Cushion,Accessories,Straw,12,Uwa,Low,4.9,5831,8216,2385,0
24,Handmade Necklace,Kitchenware,Fabric,15,North,High,3.9,13329,15128,1799,0
25,Painted Ceramic Mug,Jewelry,Straw,16,NorthEast,Medium,4.8,4698,18960,14262,0
26,Wooden Sculpture,Crafts,Beads,11,North,High,4.1,12034,14939,2905,0
27,Knitted Scarf,Home Decor,Straw,17,Sabaragamuwa,Medium,3.1,3488,13935,10447,0
28,Paper Flower Bouquet,Kitchenware,Fabric,7,Uwa,High,4.5,9107,13202,4095,0
29,Leather Wallet,Jewelry,Wood,20,North,High,4.1,13413,9695,3718,0
30,Hand-Painted Vase,Home Decor,Straw,7,Uwa,High,4.9,3196,10031,6835,0
31,Painted Ceramic Mug,Crafts,Leather,12,Sabaragamuwa,Medium,4.1,13045,7716,5329,0
32,Handmade Necklace,Fashion,Wool,11,Uwa,Low,4.4,17259,13527,3732,0
